(PDH-CSV 4.0) (Iran Daylight Time)(-270),\\DESKTOP-JNAC5VS\Memory\Available MBytes,\\DESKTOP-JNAC5VS\Memory\Cache Faults/sec,\\DESKTOP-JNAC5VS\Network Adapter(Realtek 8821AE Wireless LAN 802.11ac PCI-E NIC)\Bytes Sent/sec,\\DESKTOP-JNAC5VS\Network Adapter(Realtek 8821AE Wireless LAN 802.11ac PCI-E NIC)\Bytes Received/sec,\\DESKTOP-JNAC5VS\Processor(_Total)\% C1 Time,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_0)\Processor Frequency,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_1)\Processor Frequency,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_2)\Processor Frequency,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_3)\Processor Frequency,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_4)\Processor Frequency,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_5)\Processor Frequency,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_6)\Processor Frequency,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_7)\Processor Frequency
01:13.2,6601, , , , ,2592,2592,2592,2592,2592,2592,2592,2592
01:16.2,6595,15.98662665,440.6313971,606.8257034,1.740721571,2592,2592,2592,2592,2592,2592,2592,2592
01:19.2,6596,53.89609335,88.71096111,209.5587232,1.963926346,2592,2592,2592,2592,2592,2592,2592,2592
01:22.2,6596,1.664939902,4453.38125,1296.988184,1.390658443,2592,2592,2592,2592,2592,2592,2592,2592
01:25.2,6589,14.97725255,5264.670685,4770.421351,1.999142783,2592,2592,2592,2592,2592,2592,2592,2592
01:28.2,6554,48.29685794,209.5084389,604.2103469,1.470316334,2592,2592,2592,2592,2592,2592,2592,2592
01:31.2,6555,1.672663556,9103.973202,2357.452016,0.976603417,2592,2592,2592,2592,2592,2592,2592,2592
01:34.2,6513,4378.241626,1543.344309,1909.555966,10.50668398,2592,2592,2592,2592,2592,2592,2592,2592
01:37.2,6422,672.2186329,582.278578,1085.942886,3.569386858,2592,2592,2592,2592,2592,2592,2592,2592
01:40.2,6340,363.6546689,435.8532628,631.8208748,4.870407214,2592,2592,2592,2592,2592,2592,2592,2592
01:43.2,6444,1391.068047,542.195831,2763.762236,6.345594785,2592,2592,2592,2592,2592,2592,2592,2592
01:46.2,6385,269.4620549,3551.909087,5370.278954,5.771558164,2592,2592,2592,2592,2592,2592,2592,2592
01:49.2,6363,1763.363747,257.6940758,505.3481226,1.498601249,2592,2592,2592,2592,2592,2592,2592,2592
01:52.2,6405,4.330303564,309.4501547,741.14811,0.749200529,2592,2592,2592,2592,2592,2592,2592,2592
01:55.2,6585,47.62615744,0,303.7416475,1.431075977,2592,2592,2592,2592,2592,2592,2592,2592
01:58.2,6548,161.834605,315.6773777,721.2628693,5.132522806,2592,2592,2592,2592,2592,2592,2592,2592
02:01.2,6780,38.63475307,1084.104494,892.5960193,0.612524448,2592,2592,2592,2592,2592,2592,2592,2592
02:04.2,6799,20.97882188,387.608709,429.5663528,0,2592,2592,2592,2592,2592,2592,2592,2592
02:07.2,6685,2927.68942,389.733587,461.7204608,2.800555747,2592,2592,2592,2592,2592,2592,2592,2592
02:10.2,6662,988.2712053,5539.712952,4358.648948,2.097992303,2592,2592,2592,2592,2592,2592,2592,2592
02:13.2,6549,2855.337167,3730.725183,6803.576953,7.970323489,2592,2592,2592,2592,2592,2592,2592,2592
02:16.2,6434,1258.510339,6726.922495,8230.411308,6.942121869,2592,2592,2592,2592,2592,2592,2592,2592
02:19.2,6405,128.2239839,70.27340417,77.93353828,4.884015014,2592,2592,2592,2592,2592,2592,2592,2592
02:22.2,6408,69.97503733,387.3737712,466.0538371,1.792345703,2592,2592,2592,2592,2592,2592,2592,2592
02:25.2,6450,150.7376662,528.0809631,464.5249052,0.825590751,2592,2592,2592,2592,2592,2592,2592,2592
02:28.2,6458,224.5098166,1644.517752,1391.028181,1.145125422,2592,2592,2592,2592,2592,2592,2592,2592
02:31.2,6458,85.92711948,418.3118685,395.6644106,0.912801205,2592,2592,2592,2592,2592,2592,2592,2592
02:34.2,6462,122.2354513,1136.090257,1426.85742,1.266024357,2592,2592,2592,2592,2592,2592,2592,2592
02:37.2,6433,202.2110777,574.1589375,1176.774732,1.960140359,2592,2592,2592,2592,2592,2592,2592,2592
02:40.2,6436,67.2482598,404.8212075,547.3076194,0.763528338,2592,2592,2592,2592,2592,2592,2592,2592
02:43.2,6440,38.95223806,0,0,1.046216197,2592,2592,2592,2592,2592,2592,2592,2592
02:46.2,6435,11.9913051,4061.055329,4171.641809,0.787552938,2592,2592,2592,2592,2592,2592,2592,2592
02:49.2,6433,857.2371447,917.1837981,1178.617815,1.932170581,2592,2592,2592,2592,2592,2592,2592,2592
02:52.2,6434,5.017936614,377.0143043,524.8761699,1.293732284,2592,2592,2592,2592,2592,2592,2592,2592
